Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
1,Minecraft,Mojang,Mojang AB,238000000,11/18/2011,10/8/2020,Action-Adventure
2,Grand Theft Auto V,Rockstar Games,Rockstar North,180000000,9/17/2013,10/8/2020,Action-Adventure
3,PlayerUnknown's Battlegrounds,PUBG Corporation,PUBG Corporation,70000000,12/17/2017,10/24/2020,Shooter
4,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,60000000,11/10/2011,10/27/2020,Role-Playing
5,Red Dead Redemption 2,Rockstar Games,Rockstar Studios,53000000,10/26/2018,10/8/2020,Action-Adventure
6,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,50000000,5/18/2015,10/29/2020,Role-Playing
7,Terraria,Re-Logic,Re-Logic,44500000,5/16/2011,10/10/2020,Platform
8,The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,32350000,3/3/2017,2/7/2023,Action-Adventure
9,Call of Duty: Black Ops II,Activision,Treyarch,31000000,11/13/2012,8/15/2021,Shooter
10,Call of Duty: Black Ops,Activision,Treyarch,30000000,11/9/2010,10/14/2020,Shooter
11,Diablo III,Blizzard Entertainment,Blizzard Entertainment,30000000,5/15/2015,10/29/2020,Role-Playing
12,Call of Duty: Modern Warfare,Activision,Infinity Ward,30000000,10/25/2019,11/29/2020,Shooter
13,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,30000000,11/8/2011,8/15/2021,Shooter
14,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar North,27500000,10/26/2004,10/13/2020,Action-Adventure
15,Borderlands 2,2K Games,Gearbox Software,27000000,9/18/2012,10/27/2020,Shooter
16,FIFA 18,Electronic Arts,EA Vancouver,26400000,9/26/2017,10/15/2020,Sports
17,Grand Theft Auto IV,Rockstar Games,Rockstar North,25000000,12/2/2008,10/13/2020,Action-Adventure
18,Human: Fall Flat,Curve Digital,No Brakes Games,25000000,7/22/2016,2/11/2021,Platform
19,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,23000000,4/20/2018,11/23/2022,Action
20,Monster Hunter: World,Capcom,Capcom,22700000,1/26/2018,10/13/2020,Role-Playing
21,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,22700000,11/10/2009,10/14/2020,Shooter
22,Final Fantasy X/X-2,Square,Square,20800000,12/17/2001,10/19/2020,Role-Playing
23,Elden Ring,Bandai Namco Entertainment,From Software,20500000,2/25/2022,2/28/2022,Action-Adventure
24,FIFA 19,EA Sports,EA Vancouver,20000000,9/28/2018,10/15/2020,Sports
25,Fallout 4,Bethesda Softworks,Bethesda Game Studios,20000000,11/10/2015,10/30/2020,Role-Playing
26,Stardew Valley,ConcernedApe,ConcernedApe,20000000,2/26/2016,12/28/2020,Simulation
27,Dying Light,Warner Bros. Interactive Entertainment,Techland,20000000,1/27/2015,7/22/2021,Action-Adventure
28,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,20000000,2/28/2017,2/11/2022,Action-Adventure
29,Cyberpunk 2077,CD Projekt Red Studio,CD Projekt Red Studio,20000000,12/10/2020,10/2/2022,Role-Playing
30,Call of Duty: Ghosts,Activision,Infinity Ward,19000000,11/5/2013,10/14/2020,Shooter
31,The Elder Scrolls Online,Bethesda Softworks,ZeniMax Online Studios,18000000,4/4/2014,10/27/2020,Role-Playing
32,Need for Speed: Most Wanted,Electronic Arts,EA Canada,17800000,11/15/2005,10/20/2020,Racing
33,Grand Theft Auto: Vice City,Rockstar Games,Rockstar North,17500000,10/29/2002,10/14/2020,Action-Adventure
34,Borderlands 3,2K Games,Gearbox Software,17000000,9/13/2019,10/27/2020,Shooter
35,Zuma,PopCap Games,Oberon Media,17000000,12/12/2003,11/30/2020,Puzzle
36,FIFA 11,EA Sports,EA Canada,16000000,9/28/2010,10/15/2020,Sports
37,The Sims,Electronic Arts,Maxis,16000000,2/4/2000,10/18/2020,Simulation
38,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,15700000,11/5/2007,10/14/2020,Shooter
39,Call of Duty: World at War,Activision,Treyarch,15700000,11/11/2008,11/29/2020,Shooter
40,Need for Speed: Carbon,Electronic Arts,EA Canada,15600000,10/30/2006,8/30/2021,Racing
41,Need for Speed: Underground,Electronic Arts,EA Black Box,15000000,11/17/2003,10/20/2020,Racing
42,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft Montreal,15000000,10/29/2013,10/21/2020,Action-Adventure
43,Battlefield 3,Electronic Arts,EA DICE,15000000,10/25/2011,10/23/2020,Shooter
44,Mortal Kombat 11,Warner Bros. Interactive Entertainment,NetherRealm Studios,15000000,4/23/2019,10/28/2020,Fighting
45,Red Dead Redemption,Rockstar Games,Rockstar San Diego,15000000,5/18/2010,10/30/2020,Action-Adventure
46,Mario & Sonic at the Olympic Games,Sega,Sega Sports R&D,15000000,11/6/2007,11/9/2020,Sports
47,Theme Park,Bullfrog Productions,Bullfrog Productions,15000000,6/1/1994,9/26/2022,Simulation
48,Hogwarts Legacy,Warner Bros. Interactive Entertainment,Avalanche Software,15000000,2/10/2023,2/23/2023,Role-Playing
49,Grand Theft Auto III,Rockstar Games,Rockstar North,14500000,10/22/2001,10/14/2020,Action-Adventure
50,FIFA 13,EA Sports,EA Canada,14500000,9/25/2012,10/15/2020,Sports
51,Final Fantasy VII,Sony Computer Entertainment,Square,14100000,9/7/1997,10/9/2020,Role-Playing
52,Street Fighter II,Capcom,Capcom,14050000,2/15/1991,11/2/2022,Fighting
53,NBA 2K20,2K Sports,Visual Concepts,14000000,9/6/2019,10/22/2020,Sports
54,Star Wars Battlefront (2015),Electronic Arts,EA DICE,14000000,11/17/2015,10/31/2020,Shooter
55,Portal,Valve,Valve,13970000,10/10/2007,11/9/2020,Puzzle
56,Resident Evil 5,Capcom,Capcom,13900000,3/13/2009,10/11/2020,Action-Adventure
57,Monster Hunter Rise,Capcom,Capcom,13200000,3/26/2021,1/18/2022,Action-Adventure
58,Resident Evil 4,Capcom,Capcom,12800000,1/11/2005,10/11/2020,Action-Adventure
59,Resident Evil 2 (2019),Capcom,Capcom,12600000,1/25/2019,10/11/2020,Action-Adventure
60,Batman: Arkham City,Warner Bros. Interactive Entertainment,Rocksteady Studios,12500000,10/18/2011,11/9/2020,Action-Adventure
61,Rust,Facepunch Studios,Facepunch Studios,12480000,2/8/2018,1/10/2022,Action-Adventure
62,Resident Evil 7,Capcom,Capcom,12400000,1/24/2017,10/11/2020,Action-Adventure
63,Assassin's Creed III,Ubisoft,Ubisoft Montreal,12000000,10/30/2012,10/21/2020,Action-Adventure
64,NBA 2K19,2K Sports,Visual Concepts,12000000,9/11/2018,10/22/2020,Sports
65,Cities: Skylines,Paradox Interactive,Colossal Order,12000000,3/10/2015,1/27/2021,Simulation
66,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,12000000,12/19/2014,5/31/2021,Racing
67,7 Days to Die,The Fun Pimps,The Fun Pimps,12000000,12/13/2013,8/15/2021,Role-Playing
68,Resident Evil 6,Capcom,Capcom,11100000,10/2/2012,10/11/2020,Action-Adventure
69,Need for Speed: Underground 2,Electronic Arts,EA Black Box,11000000,11/9/2004,10/20/2020,Racing
70,Tomb Raider (2013),Square Enix,Crystal Dynamics,11000000,3/5/2013,10/26/2020,Action-Adventure
71,Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,11000000,4/7/2015,10/28/2020,Fighting
72,Civilization VI,2K Games,Firaxis Games,11000000,10/21/2016,10/31/2020,Strategy
73,BioShock Infinite,2K Games,Irrational Games,11000000,3/26/2013,11/3/2020,Shooter
74,NBA 2K21,2K Sports,Visual Concepts,11000000,9/4/2020,11/6/2020,Sports
75,Lego Batman: The Videogame,Warner Bros. Interactive Entertainment,TT Fusion,11000000,9/23/2008,7/20/2021,Action-Adventure
76,God of War: Ragnarök,Sony Interactive Entertainment,Sony Computer Entertainment,11000000,11/9/2022,11/23/2022,Action
