Rank,Title,Publisher,Developer,Total Sales,Release Date,Last Update,Genre
1,Tetris,The Tetris Company,Alexey Pajitnov,496400000,1/1/1988,2/27/2020,Puzzle
2,Pokemon,Nintendo,Game Freak,480660000,9/28/1998,2/3/2020,Role-Playing
3,Super Mario,Nintendo,Nintendo,401830000,7/20/1983,2/20/2020,Platform
4,Grand Theft Auto,Rockstar Games,Rockstar North,400000000,3/27/1998,2/3/2020,Action-Adventure
5,Call of Duty,Activision,Infinity Ward,400000000,10/29/2003,2/3/2020,Shooter
6,FIFA,EA Sports,Extended Play Productions (1991-1997),325000000,12/15/1993,2/3/2020,Sports
7,Lego,Warner Bros. Interactive Entertainment,TT Fusion,203220000,9/26/1997,3/1/2020,Action-Adventure
8,Assassin's Creed,Ubisoft,Ubisoft,200000000,11/13/2007,2/11/2020,Action-Adventure
9,The Sims,Electronic Arts,Maxis,200000000,2/4/2000,2/18/2020,Simulation
10,Final Fantasy,Square,Square,180000000,12/18/1987,2/28/2020,Role-Playing
11,Mario Kart,Nintendo,Nintendo,176880000,9/1/1992,2/20/2020,Racing
12,Need for Speed,Electronic Arts,EA Black Box,150000000,8/31/1994,2/24/2020,Racing
13,Resident Evil,Capcom,Capcom,146000000,3/30/1996,2/3/2020,Action-Adventure
14,The Legend of Zelda,Nintendo,Nintendo,145480000,7/14/1987,2/3/2020,Action-Adventure
15,Tomb Raider,Eidos Interactive,Core Design,141000000,11/14/1996,2/27/2020,Action-Adventure
16,NBA 2K,2K Games,Visual Concepts,135000000,11/10/1999,2/16/2020,Sports
17,Madden NFL,Electronic Arts,Park Place Productions,130000000,6/1/1988,2/25/2020,Sports
18,Wii/Nintendo Sports,Nintendo,Nintendo,125640000,11/19/2006,2/7/2023,Sports
19,Pro Evolution Soccer/eFootball,Konami,Konami,112500000,12/22/1995,2/7/2022,Sports
20,Sonic the Hedgehog,Sega,Sonic Team,98030000,6/23/1991,2/7/2020,Platform
21,Monster Hunter,Capcom,Capcom,94000000,9/21/2004,2/3/2020,Role-Playing
22,The Elder Scrolls,Bethesda Softworks,Bethesda Softworks,92200000,3/25/1994,3/4/2020,Role-Playing
23,Gran Turismo,Sony Interactive Entertainment,Polyphony Digital,90000000,5/12/1998,2/5/2020,Racing
24,Dragon Quest,Square,ArtePiazza,88000000,5/27/1986,2/27/2020,Role-Playing
25,Halo,Microsoft Game Studios,Bungie,81000000,11/15/2001,2/3/2020,Shooter
26,Borderlands,2K Games,Gearbox Software,80000000,10/20/2009,2/5/2020,Shooter
27,Mortal Kombat,Warner Bros. Interactive Entertainment,Avalanche Software,80000000,10/8/1992,3/1/2020,Fighting
28,Battlefield,Electronic Arts,EA DICE,78900000,9/10/2002,2/23/2020,Shooter
29,Animal Crossing,Nintendo,Nintendo,77680000,9/16/2002,2/20/2020,Simulation
30,The Witcher,CD Projekt,CD Projekt Red Studio,75000000,10/30/2007,2/13/2020,Role-Playing
31,Red Dead,Rockstar Games,Rockstar San Diego,75000000,5/4/2004,2/26/2020,Action-Adventure
32,PUBG,PUBG Corporation,PUBG Corporation,75000000,12/20/2017,3/16/2020,Shooter
33,Worms,Team17,Team17,75000000,10/31/1995,1/26/2021,Strategy
34,Super Smash Bros.,Nintendo,Nintendo,73060000,4/26/1999,2/20/2020,Fighting
35,WWE 2K,2K Games,Visual Concepts,70000000,3/2/2000,3/2/2020,Fighting
36,Dragon Ball,Bandai,Tose,69850000,9/27/1986,3/5/2020,Role-Playing
37,God of War,Sony Interactive Entertainment,SIE Santa Monica Studio,69500000,3/22/2005,3/4/2020,Action
38,Civilization,Microprose,Firaxis Games,67000000,9/1/1991,2/5/2020,Strategy
39,Counter-Strike,Valve,Valve,65000000,11/9/2000,2/19/2020,Shooter
40,Donkey Kong,Nintendo,Nintendo,65000000,7/31/1981,2/21/2020,Platform
41,Metal Gear,Konami,Konami,59800000,7/13/1987,2/26/2020,Action-Adventure
42,Harry Potter/Wizarding World,Electronic Arts,Griptonite Games,57700000,11/15/2001,2/23/2023,Action-Adventure
43,Diablo,Blizzard Entertainment,Blizzard North,55000000,1/3/1997,2/18/2020,Role-Playing
44,Tekken,Namco,Bandai Namco Studios,54500000,12/11/1994,2/21/2020,Fighting
45,Lego Star Wars,Warner Bros. Interactive Entertainment,TT Fusion,53200000,3/29/2005,3/2/2020,Action-Adventure
46,Far Cry,Ubisoft,Ubisoft,52500000,3/23/2004,2/11/2020,Shooter
47,Street Fighter,Capcom,Capcom,52000000,8/30/1987,2/3/2020,Fighting
48,Bejeweled,PopCap Games,PopCap Games,50000000,5/30/2001,2/25/2020,Puzzle
49,Crash Bandicoot,Sony Interactive Entertainment,Naughty Dog,50000000,9/9/1996,3/2/2020,Platform
50,The Walking Dead: Telltale Games Series,Telltale Games,Telltale Games,50000000,4/24/2012,1/12/2021,Adventure
51,Warriors,KOEI,Omega Force,49950000,6/30/1997,3/24/2020,Action
52,Kirby,Nintendo,HAL Laboratory,49180000,8/1/1992,2/22/2020,Platform
53,Fallout,Bethesda Softworks,Interplay Entertainment,46430000,10/10/1997,3/7/2020,Role-Playing
54,Terraria,505 Games,Re-Logic,44500000,5/16/2011,3/7/2020,Action-Adventure
55,Uncharted,Sony Interactive Entertainment,Naughty Dog,44250000,11/20/2007,2/15/2020,Shooter
56,Wii Fit,Nintendo,Nintendo,43800000,5/21/2008,2/19/2020,Misc
57,Total War,Sega,Creative Assembly,43010000,6/13/2000,2/7/2020,Strategy
58,Star Wars: Battlefront,LucasArts,Pandemic Studios,43000000,9/21/2004,2/24/2020,Shooter
59,Spider-Man,Parker Brothers,Parker Brothers,42500000,1/1/1982,3/12/2020,Action-Adventure
60,BioShock,2K Games,Irrational Games,42000000,8/21/2007,2/8/2020,Shooter
61,Gears of War,Microsoft Game Studios,Epic Games,41000000,11/7/2006,3/11/2020,Shooter
62,Mega Man,Capcom,Capcom,40000000,12/17/1987,2/3/2020,Platform
63,Medal of Honor,Electronic Arts,"2015, Inc.",39000000,10/31/1999,2/24/2020,Shooter
64,The Last of Us,Sony Interactive Entertainment,Naughty Dog,37370000,6/14/2013,3/2/2020,Action-Adventure
65,Tom Clancy's Rainbow Six,Ubisoft,Ubisoft,36000000,8/21/1998,2/10/2020,Shooter
66,Kingdom Hearts,Square Enix,Square,36000000,9/17/2002,2/27/2020,Role-Playing
67,Souls,Bandai Namco Entertainment,From Software,35800000,10/6/2009,2/17/2020,Role-Playing
68,Brain Age,Nintendo,Nintendo,35090000,4/16/2006,2/20/2020,Puzzle
69,NBA Live,EA Sports,EA Canada,35000000,10/1/1994,2/24/2020,Sports
70,Tom Clancy's Ghost Recon,Ubisoft,Red Storm Entertainment,35000000,11/13/2001,3/12/2020,Shooter
71,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,34500000,9/7/2018,1/8/2023,Action-Adventure
72,Dark Souls,Bandai Namco Entertainment,From Software,33400000,10/4/2011,10/22/2022,Role-Playing
73,Football Manager,Sega,Sports Interactive,33330000,11/5/2004,2/7/2020,Simulation
74,Half-life,Valve,Valve,33100000,11/19/1998,2/19/2020,Shooter
75,Horizon,Sony Interactive Entertainment,Guerrilla Games,32700000,2/28/2017,9/24/2020,Action-Adventure
76,Tony Hawk's,Activision,Neversoft,31120000,9/29/1999,3/9/2020,Sports
77,Tom Clancy's Splinter Cell,Ubisoft,Ubisoft,31000000,11/17/2002,2/8/2020,Action-Adventure
78,Age of Empires,Microsoft,Ensemble Studios,30820000,10/15/1997,3/12/2020,Strategy
79,Ratchet & Clank,Sony Interactive Entertainment,Insomniac Games,30810000,11/4/2002,3/10/2020,Shooter
80,Command & Conquer,Electronic Arts,Westwood Studios,30000000,9/26/1995,2/23/2020,Strategy
81,James Bond,Parker Bros.,Richard Shepherd Software,30000000,1/1/1983,3/8/2020,Action-Adventure
82,Mario & Sonic at the Olympic Games,Sega,Sega,30000000,11/6/2007,3/11/2020,Sports
83,Dying Light,Techland,Techland,30000000,1/27/2015,4/22/2022,Action-Adventure
84,Devil May Cry,Capcom,Capcom,29000000,10/16/2001,2/3/2020,Action
85,Splatoon,Nintendo,Nintendo,28920000,5/29/2015,2/16/2020,Shooter
86,Nintendogs,Nintendo,Nintendo,28640000,8/22/2005,2/20/2020,Simulation
87,Naruto: Ultimate Ninja,Bandai Namco Entertainment,CyberConnect2,28110000,6/26/2006,2/5/2020,Fighting
88,Farming Simulator,Astragon,Giants Software,28000000,4/14/2008,3/3/2020,Simulation
89,Tales of,Namco,Bandai Namco Studios,27750000,9/30/1998,2/6/2020,Role-Playing
90,Yoshi,Nintendo,Nintendo,27310000,6/1/1992,2/21/2020,Platform
91,Portal,Valve,Valve,27030000,10/10/2007,2/19/2020,Puzzle
92,Rayman,Ubisoft,Ubisoft,26000000,9/19/1995,2/10/2020,Platform
93,Puyo Puyo,Sega,Compile,25000000,2/11/2002,2/7/2020,Puzzle
94,Tiger Woods PGA Tour,EA Sports,EA Redwood Shores,25000000,8/31/1998,2/24/2020,Sports
95,Batman: Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,24810000,8/25/2009,3/12/2020,Action-Adventure
96,Jikkyo Powerful Pro Yakyu,Konami,Konami,24700000,3/11/1994,2/26/2020,Sports
97,Petz,PF.Magic,PF Magic,24000000,1/1/1995,2/10/2020,Simulation
98,Yakuza,Sega,Sega,23240000,9/5/2006,3/2/2020,Action-Adventure
99,Luigi's Mansion,Nintendo,Nintendo,22620000,11/18/2001,2/20/2020,Action-Adventure
100,Teenage Mutant Ninja Turtles,Konami,Konami,22600000,5/12/1989,3/16/2020,Action-Adventure
101,Microsoft Flight Simulator,Microsoft,Sublogic,22200000,11/1/1982,10/6/2022,Simulation
102,SpongeBob SquarePants,THQ,Vicarious Visions,22000000,3/15/2001,3/7/2020,Action-Adventure
103,Yu-Gi-Oh!,Konami,Konami,21800000,3/20/2002,1/12/2021,Strategy
104,Castlevania,Konami,Konami,21630000,9/26/1986,3/3/2020,Action-Adventure
105,Dynasty Warriors,KOEI,Omega Force,21280000,6/30/1997,3/24/2020,Action
106,Imagine,Ubisoft,Ubisoft,21000000,10/1/2007,2/10/2020,Simulation
107,Naruto: Ultimate Ninja Storm,Namco Bandai Games,CyberConnect2,20800000,11/4/2008,10/17/2020,Fighting
108,The Lord of the Rings,Melbourne House,Beam Software,20570000,11/1/1982,3/9/2020,Action-Adventure
109,Super Robot Wars,Bandai,Banpresto,20060000,4/20/1991,2/19/2020,Role-Playing
110,Prince of Persia,Ubisoft,Broderbund,20000000,8/3/1989,2/9/2020,Action-Adventure
111,Rayman Raving Rabbids,Ubisoft,Ubisoft,20000000,11/19/2006,2/10/2020,Action-Adventure
112,Stardew Valley,Chucklefish,ConcernedApe,20000000,2/26/2016,2/12/2020,Simulation
113,Sniper Elite,Rebellion Developments,Rebellion Developments,20000000,10/18/2005,2/13/2020,Shooter
114,SimCity,Maxis,Maxis,20000000,2/2/1989,2/17/2020,Simulation
115,Frogger,Konami,Konami,20000000,10/23/1981,2/26/2020,Action
116,Spyro,Sony Interactive Entertainment,Insomniac Games,20000000,9/10/1998,3/6/2020,Platform
117,Gundam,Bandai,Banpresto,20000000,5/2/1997,3/8/2020,Action-Adventure
118,Lemmings,Psygnosis,DMA Design,20000000,2/14/1991,3/14/2020,Puzzle
119,Watch Dogs,Ubisoft,Ubisoft,20000000,5/27/2014,3/20/2020,Action-Adventure
120,Tom Clancy's The Division,Ubisoft,Massive Entertainment,20000000,3/8/2016,5/14/2020,Shooter
121,Simple,Agetec,Bandai Namco Studios,20000000,11/30/2002,1/12/2021,Misc
122,StarCraft,Blizzard Entertainment,Blizzard Entertainment,19100000,3/31/1998,2/18/2020,Strategy
123,Driver,GT Interactive,Ubisoft Reflections,19000000,6/30/1999,2/9/2020,Racing
124,WarCraft,Blizzard Entertainment,Blizzard Entertainment,19000000,11/23/1994,3/21/2020,Strategy
125,Persona,Atlus,Atlus,18960000,11/1/1996,2/3/2020,Role-Playing
126,Midnight Club,Rockstar Games,Rockstar San Diego,18500000,10/26/2000,2/15/2020,Racing
127,Professor Layton,Nintendo,Level-5,18000000,2/10/2008,2/4/2020,Adventure
128,Ace Combat,Namco,Namco,18000000,9/9/1995,3/11/2020,Simulation
129,Metroid,Nintendo,Nintendo,17990000,8/15/1987,2/19/2020,Action-Adventure
130,RollerCoaster Tycoon,Hasbro Interactive,Chris Sawyer Productions,17230000,3/22/1999,3/11/2020,Simulation
131,Zuma,PopCap Games,Oberon Media,17000000,12/12/2003,2/16/2020,Puzzle
132,SoulCalibur,Namco,Project Soul,17000000,12/20/1996,3/12/2020,Fighting
133,Pokemon Mystery Dungeon,Nintendo,Chunsoft,16860000,9/18/2006,3/3/2020,Role-Playing
134,Hitman,Eidos Interactive,IO Interactive,16590000,11/21/2000,2/28/2020,Action-Adventure
135,Mario Tennis,Nintendo,Nintendo,16530000,8/14/1995,2/21/2020,Sports
136,Deus Ex,Eidos Interactive,Ion Storm,16400000,6/17/2000,2/28/2020,Role-Playing
137,Dead Rising,Capcom,Capcom,16000000,8/8/2006,2/3/2020,Action-Adventure
138,Mass Effect,Electronic Arts,BioWare,16000000,11/20/2007,2/24/2020,Role-Playing
139,Dead Island,Deep Silver,Techland,16000000,9/6/2011,3/20/2020,Action-Adventure
140,Fire Emblem,Nintendo,Intelligent Systems,15390000,11/3/2003,7/23/2021,Strategy
141,Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation,15350000,2/24/2015,2/13/2020,Fighting
142,Just Cause,Eidos Interactive,Avalanche Studios,15000000,9/27/2006,2/11/2020,Shooter
143,Famista,Namco,Namco,15000000,12/10/1986,2/22/2020,Sports
144,Burnout,EA Sports,Criterion Games,15000000,11/1/2001,2/23/2020,Racing
145,Gex,BMG Interactive Entertainment,Crystal Dynamics,15000000,4/1/1995,3/1/2020,Platform
146,Backyard Sports,Humongous Entertainment,Humongous Entertainment,15000000,1/1/1997,3/3/2020,Sports
147,Barbie,Hi Tech Expressions,Imagineering,15000000,12/1/1991,3/14/2020,Action-Adventure
148,Metro,THQ,4a-games,14700000,3/16/2010,2/14/2021,Shooter
149,Lego Batman,Warner Bros. Interactive Entertainment,TT Fusion,14400000,9/23/2008,7/20/2021,Action-Adventure
150,Everybody's Golf,Sony Interactive Entertainment,Camelot Software,14190000,4/30/1998,3/9/2020,Sports
151,Yo-kai Watch,Nintendo,Level 5,14000000,11/6/2015,2/16/2020,Role-Playing
152,Mafia,2K Games,Illusion Softworks,14000000,8/29/2002,11/6/2020,Action-Adventure
153,Paper Mario,Nintendo,Intelligent Systems,13330000,2/5/2001,2/21/2020,Role-Playing
154,ARMA,505 Games,Bohemia Interactive,13000000,5/4/2007,2/17/2020,Shooter
155,Scribblenauts,Warner Bros. Interactive Entertainment,5th Cell,13000000,9/15/2009,3/1/2020,Puzzle
156,Fable,Microsoft Game Studios,Big Blue Box,12580000,9/14/2004,7/25/2020,Role-Playing
157,Myst,Broderbund,"Cyan, Inc.",12500000,9/24/1993,3/9/2020,Adventure
158,Mario Golf,Nintendo,Nintendo,12220000,9/29/1991,2/21/2020,Sports
159,Mario & Luigi,Nintendo,AlphaDream,12200000,11/17/2003,2/21/2020,Role-Playing
160,Wario,Nintendo,Nintendo,12130000,3/13/1994,2/22/2020,Platform
161,Left 4 Dead,Valve,Valve,12000000,11/17/2008,2/19/2020,Shooter
162,Cooking Mama,Majesco Entertainment,Cooking Mama Limited,12000000,9/12/2006,2/22/2020,Simulation
163,Jak and Daxter,Sony Interactive Entertainment,Naughty Dog,12000000,12/3/2001,3/2/2020,Action-Adventure
